Date,Open,High,Low,Close,Adj Close,Volume
2022-05-09,523.0,524.0,520.0,520.0,503.35626220703125,23709774
2022-05-10,506.0,519.0,505.0,518.0,501.4201965332031,41679907
2022-05-11,518.0,526.0,518.0,521.0,504.3241882324219,27157254
2022-05-12,516.0,518.0,505.0,505.0,488.8363342285156,32532963
2022-05-13,507.0,514.0,506.0,511.0,494.6443176269531,29074177
2022-05-16,521.0,524.0,518.0,520.0,503.35626220703125,21163106
2022-05-17,521.0,533.0,520.0,530.0,513.0361328125,24496974
2022-05-18,541.0,541.0,534.0,538.0,520.7801513671875,30568176
2022-05-19,523.0,527.0,520.0,522.0,505.2922058105469,29019751
2022-05-20,524.0,532.0,523.0,530.0,513.0361328125,22651205
2022-05-23,533.0,534.0,528.0,528.0,511.1002197265625,17054170
2022-05-24,530.0,531.0,520.0,520.0,503.35626220703125,17802308
2022-05-25,522.0,529.0,520.0,524.0,507.2281799316406,22176476
2022-05-26,523.0,525.0,513.0,514.0,497.54827880859375,28327403
2022-05-27,524.0,530.0,522.0,530.0,513.0361328125,27866643
2022-05-30,538.0,547.0,537.0,547.0,529.4920043945312,34476433
2022-05-31,542.0,560.0,540.0,560.0,542.0759887695312,72405873
2022-06-01,550.0,555.0,548.0,549.0,531.427978515625,29155176
2022-06-02,544.0,545.0,540.0,540.0,522.716064453125,21420890
2022-06-06,541.0,544.0,538.0,540.0,522.716064453125,17615003
2022-06-07,535.0,538.0,532.0,535.0,517.8761596679688,19497532
2022-06-08,539.0,545.0,538.0,544.0,526.5880737304688,18835521
2022-06-09,538.0,542.0,537.0,541.0,523.68408203125,16338602
2022-06-10,530.0,533.0,529.0,530.0,513.0361328125,21357130
2022-06-13,518.0,519.0,515.0,516.0,499.4842529296875,32854092
2022-06-14,507.0,514.0,507.0,513.0,496.5802917480469,36304444
2022-06-15,508.0,515.0,508.0,509.0,492.708251953125,35680283
2022-06-16,515.0,516.0,507.0,508.0,494.4114990234375,26909199
2022-06-17,499.5,503.0,499.0,501.0,487.5987243652344,43566737
2022-06-20,500.0,502.0,495.0,498.0,484.678955078125,34209693
2022-06-21,501.0,505.0,499.0,505.0,491.4917297363281,33223685
2022-06-22,501.0,503.0,494.5,494.5,481.2726135253906,31034893
2022-06-23,492.0,493.5,485.0,485.5,472.5133056640625,43548940
2022-06-24,489.5,492.5,485.5,486.5,473.486572265625,27911980
2022-06-27,496.0,506.0,495.5,498.5,485.1655578613281,37909718
2022-06-28,496.0,500.0,496.0,497.5,484.1923522949219,15274062
2022-06-29,496.0,498.5,491.0,491.0,477.8662109375,30533789
2022-06-30,484.5,486.5,476.0,476.0,463.2674560546875,46311432
2022-07-01,471.5,474.0,452.5,453.5,441.36932373046875,61744377
2022-07-04,443.0,451.5,440.0,440.0,428.2304382324219,52445919
2022-07-05,449.5,451.5,433.0,446.0,434.0699462890625,50084244
2022-07-06,442.0,447.5,435.0,435.5,423.8507995605469,40549763
2022-07-07,442.0,459.0,438.5,457.5,445.2622985839844,48151202
2022-07-08,470.0,470.5,461.5,467.0,454.5081787109375,37897895
2022-07-11,468.0,470.5,461.0,462.0,449.6419372558594,21941710
2022-07-12,458.0,458.0,449.5,449.5,437.4762878417969,23036423
2022-07-13,470.5,473.0,466.0,470.5,457.9145812988281,44035695
2022-07-14,466.0,477.5,463.0,475.0,462.294189453125,31936258
2022-07-15,481.0,494.0,477.0,492.5,479.3260803222656,51846909
2022-07-18,495.5,498.5,488.5,495.5,482.2458801269531,39179575
2022-07-19,487.5,493.0,486.5,491.0,477.8662109375,19874865
2022-07-20,502.0,503.0,491.5,495.0,481.75921630859375,35436652
2022-07-21,496.0,501.0,494.0,501.0,487.5987243652344,22285593
2022-07-22,505.0,505.0,500.0,503.0,489.54522705078125,25216400
2022-07-25,500.0,503.0,498.0,499.5,486.1388854980469,15245346
2022-07-26,499.5,499.5,491.0,495.0,481.75921630859375,18024265
2022-07-27,494.0,502.0,491.0,502.0,488.5719909667969,17166365
2022-07-28,509.0,509.0,499.0,501.0,487.5987243652344,33844011
2022-07-29,508.0,510.0,504.0,509.0,495.38470458984375,29045617
2022-08-01,506.0,508.0,500.0,504.0,490.51849365234375,24117969
2022-08-02,494.0,496.0,488.5,492.0,478.8394470214844,39838155
2022-08-03,494.0,501.0,493.0,501.0,487.5987243652344,27603474
2022-08-04,499.0,503.0,495.0,500.0,486.6255187988281,26027618
2022-08-05,509.0,516.0,507.0,516.0,502.1974792480469,32784279
2022-08-08,510.0,515.0,509.0,512.0,498.30450439453125,19333128
2022-08-09,507.0,511.0,504.0,510.0,496.35797119140625,21164373
2022-08-10,500.0,503.0,499.5,500.0,486.6255187988281,20861380
2022-08-11,513.0,514.0,510.0,514.0,500.2510070800781,23740033
2022-08-12,515.0,518.0,514.0,517.0,503.1707458496094,19535923
2022-08-15,520.0,524.0,519.0,523.0,509.0102844238281,21273166
2022-08-16,526.0,526.0,523.0,525.0,510.95672607421875,20720414
2022-08-17,524.0,527.0,521.0,527.0,512.9032592773438,27143102
2022-08-18,520.0,521.0,519.0,520.0,506.0905456542969,17831084
2022-08-19,519.0,523.0,517.0,519.0,505.11724853515625,14022812
2022-08-22,511.0,514.0,510.0,512.0,498.30450439453125,11494000
2022-08-23,503.0,506.0,502.0,504.0,490.51849365234375,19191108
2022-08-24,504.0,508.0,503.0,503.0,489.54522705078125,14363212
2022-08-25,505.0,510.0,504.0,508.0,494.4114990234375,9357138
2022-08-26,513.0,515.0,511.0,512.0,498.30450439453125,12914846
2022-08-29,497.0,502.0,496.0,498.5,485.1655578613281,26590824
2022-08-30,497.5,500.0,496.0,496.0,482.7325134277344,24214535
2022-08-31,492.0,505.0,492.0,505.0,491.4917297363281,39357089
2022-09-01,495.0,495.5,490.0,490.5,477.37957763671875,39168672
2022-09-02,488.0,489.5,485.0,485.0,472.0267333984375,29982959
2022-09-05,485.0,488.0,484.0,486.0,472.99993896484375,15903415
2022-09-06,488.5,491.5,486.5,489.0,475.91973876953125,16700285
2022-09-07,477.0,478.0,472.0,472.5,459.8610534667969,34678562
2022-09-08,473.0,475.0,472.0,475.0,462.294189453125,27931552
2022-09-12,485.0,491.0,485.0,486.5,473.486572265625,21597212
2022-09-13,495.0,495.0,491.0,493.0,479.8127136230469,16507036
2022-09-14,478.5,482.5,476.0,480.0,467.1604309082031,22645714
2022-09-15,476.0,480.0,476.0,476.5,466.42633056640625,23104850
2022-09-16,470.5,472.0,469.0,472.0,462.02142333984375,39087513
2022-09-19,472.0,473.0,466.5,467.0,457.12713623046875,17182380
2022-09-20,470.5,478.0,470.0,476.5,466.42633056640625,19842582
2022-09-21,473.5,475.5,468.5,471.0,461.0425720214844,24154633
2022-09-22,462.0,468.0,459.0,464.5,454.6800231933594,29702508
2022-09-23,458.5,460.5,455.0,455.0,445.380859375,29757787
2022-09-26,443.0,454.0,443.0,446.5,437.0605163574219,32342267
2022-09-27,449.0,451.5,446.0,448.0,438.52880859375,24961404
2022-09-28,447.0,449.0,438.0,438.0,428.740234375,34402652
2022-09-29,443.0,443.5,432.0,435.0,425.80364990234375,41094780
2022-09-30,424.5,427.5,422.0,422.0,413.0784912109375,48266800
2022-10-03,418.5,424.5,416.5,417.0,408.1841735839844,36044395
2022-10-04,429.5,432.0,427.0,429.0,419.9305114746094,40375000
2022-10-05,444.5,451.0,442.0,445.0,435.59222412109375,46496536
2022-10-06,450.5,451.0,447.0,451.0,441.46539306640625,30331834
2022-10-07,448.5,448.5,437.0,438.0,428.740234375,31941781
2022-10-11,408.0,412.5,401.0,401.5,393.01190185546875,95793819
2022-10-12,397.0,400.0,395.5,397.5,389.096435546875,53570085
2022-10-13,400.5,403.0,395.0,395.0,386.6492919921875,38046284
2022-10-14,414.5,416.0,409.0,412.0,403.2899169921875,54504366
2022-10-17,400.0,403.5,396.0,397.0,388.6070556640625,41512192
2022-10-18,406.5,407.0,399.5,407.0,398.3955993652344,40093216
2022-10-19,404.0,405.0,395.5,395.5,387.13873291015625,46385177
2022-10-20,391.0,397.5,386.0,397.5,389.096435546875,52938069
2022-10-21,395.5,398.5,389.5,389.5,381.26556396484375,35923505
2022-10-24,395.0,397.5,387.0,387.0,378.81842041015625,46714078
2022-10-25,380.0,382.5,371.0,371.0,363.15667724609375,76416687
2022-10-26,370.5,379.0,370.0,376.0,368.0509948730469,58850484
